delta_deg,rot_mode,scan_target,d_polout_deg,d_LC_deg,d_A_deg,pol_in_deg,pol_out_ref_deg,A_scale_ref,ReC_nm_ref,A_base_deg,A_kind,CR00_R,CR00_G,CR00_B,CR00_W,CR00_W_rel_to_ref_dB,CR_W_t30_p+45,CR_W_t30_p+45_rel_to_ref_dB,CR_W_t30_p+135,CR_W_t30_p+135_rel_to_ref_dB,CR_W_t30_p-45,CR_W_t30_p-45_rel_to_ref_dB,CR_W_t30_p-135,CR_W_t30_p-135_rel_to_ref_dB,CR_W_t30_phi_p45,CR_W_t30_phi_p135,CR_W_t30_phi_m45,CR_W_t30_phi_m135,A_45_dB_t30,A_135_dB_t30,spread_dB_t30
-3.0,A_polout,polout,-3.0,0.0,-3.0,0.0,0.0,0.75,85.0,90.0,upper,288.93071076667866,299.32480774180664,368.31916682708766,626.5058095734012,-14.98925793968063,563.2747760931888,-2.0818153837423328,253.63838507947747,-4.510702546216257,253.6383850794984,-4.510702546215886,563.2747760930986,-2.081815383743025,563.2747760931888,253.63838507947747,253.6383850794984,563.2747760930986,3.4650532424505402,-3.4650532424502027,3.465053242450899
-2.5,A_polout,polout,-2.5,0.0,-2.5,0.0,0.0,0.75,85.0,90.0,upper,397.4957838181919,413.5661539910601,526.7178180506294,870.5376229490353,-13.560633512944253,681.4510683561973,-1.2546716523844426,301.55401190475874,-3.759201232412887,301.554011904758,-3.7592012324128845,681.4510683561973,-1.2546716523844395,681.4510683561973,301.55401190475874,301.554011904758,681.4510683561973,3.5406956600054285,-3.540695660005418,3.5406956600054285
-2.0,A_polout,polout,-2.0,0.0,-2.0,0.0,0.0,0.75,85.0,90.0,upper,580.7186072921987,607.2706040157261,810.4995634585722,1286.856727717297,-11.863206991295744,808.4142421429239,-0.5126788593898142,360.91109665865076,-2.978849987974519,360.9110966586501,-2.9788499879745145,808.4142421429235,-0.5126788593898131,808.4142421429239,360.91109665865076,360.9110966586501,808.4142421429235,3.502337208561687,-3.5023372085616766,3.502337208561687
-1.5,A_polout,polout,-1.5,0.0,-1.5,0.0,0.0,0.75,85.0,90.0,upper,925.8894481514981,973.4768074891724,1386.9422496004959,2077.347296479227,-9.78341787400712,922.1202389487605,0.05885712160133245,433.6038851122546,-2.181920691361541,433.60388511225364,-2.181920691361538,922.1202389487627,0.05885712160134576,922.1202389487605,433.6038851122546,433.60388511225364,922.1202389487627,3.276943892939857,-3.2769438929398573,3.276943892939867
-1.0,A_polout,polout,-1.0,0.0,-1.0,0.0,0.0,0.75,85.0,90.0,upper,1694.7430961908458,1786.4096400726964,2775.335644054566,3821.269700898548,-7.136432057352005,989.7515490254912,0.3662434814220882,520.1880265823638,-1.3912488237372278,520.1880265825216,-1.3912488237358973,989.7515490260855,0.3662434814246993,989.7515490254912,520.1880265823638,520.1880265825216,989.7515490260855,2.7936583851349717,-2.793658385138897,2.793658385138897
-0.5,A_polout,polout,-0.5,0.0,-0.5,0.0,0.0,0.75,85.0,90.0,upper,3965.015657983013,4090.5937885531707,6586.07496061295,8468.540616434726,-3.680423217065911,985.0821100834871,0.34570590008279173,617.7097137953868,-0.6450080309378394,617.7097137953866,-0.6450080309378282,985.0821100834879,0.3457059000827989,985.0821100834871,617.7097137953868,617.7097137953866,985.0821100834879,2.0268800109976066,-2.026880010997609,2.02688001099761
0.0,A_polout,polout,0.0,0.0,0.0,0.0,0.0,0.75,85.0,90.0,upper,15018.825893057316,12287.173622245513,10456.944477476001,19762.910165707282,0.0,909.7076398305519,0.0,716.6139101626696,0.0,716.6139101626675,0.0,909.7076398305512,0.0,909.7076398305519,716.6139101626696,716.6139101626675,909.7076398305512,1.036166079976987,-1.0361660799769703,1.036166079976987
0.5,A_polout,polout,0.5,0.0,0.5,0.0,0.0,0.75,85.0,90.0,upper,30076.69073600195,14164.530059545325,5215.992117072102,16874.537399067412,-0.686190206627803,791.7145049246348,-0.6033324030198267,798.8841830932273,0.4719858877268149,798.8841830932254,0.4719858877268175,791.7145049246346,-0.6033324030198244,791.7145049246348,798.8841830932273,798.8841830932254,791.7145049246346,-0.03915221076965772,0.03915221076966935,0.03915221076966935
1.0,A_polout,polout,1.0,0.0,1.0,0.0,0.0,0.75,85.0,90.0,upper,6569.798016451585,4714.619905783922,2272.36685432834,6941.330123600011,-4.544081969593581,663.5756805469015,-1.3701138084063254,842.1820438964735,0.7012074363720727,842.1820438964714,0.701207436372075,663.5756805469007,-1.3701138084063271,663.5756805469015,842.1820438964735,842.1820438964714,663.5756805469007,-1.0351551648014137,1.0351551648014292,1.0351551648014292
1.5,A_polout,polout,1.5,0.0,1.5,0.0,0.0,0.75,85.0,90.0,upper,2361.6270154742742,1976.8141191995455,1189.6127300644096,3278.8479036522936,-7.801296250577429,546.0609230781554,-2.216607430852643,831.960109738927,0.6481726954765745,831.9601097389268,0.6481726954765871,546.0609230781566,-2.2166074308526307,546.0609230781554,831.960109738927,831.9601097389268,546.0609230781566,-1.828614046352244,1.8286140463522351,1.8286140463522447
