A_scale,ReA_nm,best_CR,best_ReC_nm,best_A_base_deg,best_A_kind,CR_rel_to_global_best,CR_loss_pct_vs_best
0.0,0.0,107.88587165473055,0.0,90.0,upper,0.11859400419548638,88.14059958045137
0.05,7.75,109.19320923097288,10.0,90.0,upper,0.12003110059767318,87.99688994023268
0.1,15.5,112.50292374495571,20.0,90.0,upper,0.12366931838223451,87.63306816177655
0.15,23.25,118.24922506415949,25.0,90.0,upper,0.1299859645964777,87.00140354035223
0.2,31.0,126.67929597705054,35.0,90.0,upper,0.13925275597404743,86.07472440259527
0.25,38.75,138.49850160231867,40.0,90.0,upper,0.15224506812772973,84.77549318722703
0.3,46.5,154.70133230243124,50.0,90.0,upper,0.17005609882670308,82.9943901173297
0.35,54.25,176.92626620514577,55.0,90.0,upper,0.19448695213563458,80.55130478643655
0.4,62.0,207.20140709935092,60.0,90.0,upper,0.22776702978766394,77.2232970212336
0.45,69.75,249.00480826459247,65.0,90.0,upper,0.2737195966728097,72.62804033271904
0.5,77.5,307.47503986977483,70.0,90.0,upper,0.3379932479483705,66.20067520516295
0.55,85.25,389.5625460724133,75.0,90.0,upper,0.42822828897531906,57.177171102468094
0.6,93.0,501.959664413768,80.0,90.0,upper,0.5517813003167324,44.82186996832675
0.65,100.75,648.1915206345432,80.0,90.0,upper,0.7125272914661672,28.747270853383277
0.7,108.5,803.1764904116341,85.0,90.0,upper,0.8828951799956726,11.710482000432743
0.75,116.25,909.7076398305525,85.0,90.0,upper,1.0,0.0
0.8,124.0,891.2537716158824,85.0,90.0,upper,0.9797145067198652,2.0285493280134848
0.85,131.75,762.7431286637994,85.0,90.0,upper,0.8384486347788312,16.155136522116877
0.9,139.5,601.5950302013881,85.0,90.0,upper,0.6613059007764789,33.86940992235211
0.95,147.25,465.43890336981934,80.0,90.0,upper,0.5116356980980338,48.83643019019662
1.0,155.0,360.79752300850276,80.0,90.0,upper,0.3966082147839355,60.33917852160645
1.05,162.75,286.5100995380232,75.0,90.0,upper,0.31494744794205565,68.50525520579444
1.1,170.5,233.06954247676774,70.0,90.0,upper,0.2562026878439546,74.37973121560454
1.15,178.25,194.60057949805258,65.0,90.0,upper,0.213915516345779,78.6084483654221
1.2,186.0,166.58749802387655,60.0,90.0,upper,0.1831220171514731,81.68779828485269
1.25,193.75,145.9134190168308,55.0,90.0,upper,0.16039594769590976,83.96040523040902
1.3,201.5,130.48661155383977,50.0,90.0,upper,0.14343796384753346,85.65620361524665
1.35,209.25,119.20318028071418,40.0,90.0,upper,0.13103460393376234,86.89653960662376
1.4,217.0,110.77664652165062,35.0,90.0,upper,0.12177170078761186,87.8228299212388
1.45,224.75,104.73811935823525,25.0,90.0,upper,0.1151338240687353,88.48661759312647
1.5,232.5,100.57311783216555,20.0,90.0,upper,0.11055542839114652,88.94445716088535
1.55,240.25,98.00666698393422,10.0,90.0,upper,0.10773424635874172,89.22657536412582
1.6,248.0,96.79448935291634,5.0,90.0,upper,0.10640175493188764,89.35982450681124
1.65,255.75,96.74808727116135,-5.0,90.0,upper,0.10635074724576593,89.36492527542342
1.7,263.5,97.89923029830064,-10.0,90.0,upper,0.10761614612419428,89.23838538758058
1.75,271.25,100.05247824343108,-15.0,90.0,upper,0.10998311310441171,89.00168868955883
1.8,279.0,103.15142630323912,-20.0,90.0,upper,0.11338964496599448,88.66103550340056
1.85,286.75,107.12497943511649,-25.0,90.0,upper,0.11775759018036852,88.22424098196315
1.9,294.5,111.85937015643506,-30.0,90.0,upper,0.12296188935741009,87.703811064259
1.95,302.25,117.26679250658295,-30.0,90.0,upper,0.12890602142071242,87.10939785792876
2.0,310.0,123.27574803343377,-35.0,90.0,upper,0.13551139139206947,86.44886086079305
2.05,317.75,129.30871502535007,-40.0,90.0,upper,0.14214315606872982,85.78568439312701
2.1,325.5,135.41673766995584,-40.0,90.0,upper,0.14885742599147497,85.1142574008525
2.15,333.25,140.7778579004995,-40.0,90.0,upper,0.15475066025247586,84.52493397475241
2.2,341.0,145.45503938415445,-45.0,90.0,upper,0.1598920719312061,84.01079280687938
2.25,348.75,148.87619464372625,-45.0,90.0,upper,0.16365279143028502,83.6347208569715
2.3,356.5,150.73781319296305,-45.0,90.0,upper,0.16569918355422447,83.43008164457754
2.35,364.25,150.96960713977523,-45.0,90.0,upper,0.1659539840380979,83.4046015961902
2.4,372.0,149.62657872386626,-45.0,90.0,upper,0.1644776543283033,83.55223456716968
2.45,379.75,146.87591761735064,-45.0,90.0,upper,0.16145397838442757,83.85460216155724
2.5,387.5,143.45323277139934,-40.0,90.0,upper,0.15769157748100235,84.23084225189976
2.55,395.25,139.22791456482042,-40.0,90.0,upper,0.1530468784353112,84.69531215646889
2.6,403.0,134.48977783942922,-35.0,90.0,upper,0.14783846144732837,85.21615385526717
2.65,410.75,130.02910463665037,-35.0,90.0,upper,0.14293504741904814,85.70649525809519
2.7,418.5,125.4032610360857,-30.0,90.0,upper,0.13785006912709236,86.21499308729076
2.75,426.25,121.42321693447852,-30.0,90.0,upper,0.13347498868658014,86.65250113134199
2.8,434.0,117.60954223132492,-25.0,90.0,upper,0.1292827905163373,87.07172094836628
2.85,441.75,114.40212647460385,-25.0,90.0,upper,0.12575702507666425,87.42429749233358
2.9,449.5,111.61864204557367,-20.0,90.0,upper,0.12269726795563068,87.73027320443694
2.95,457.25,109.23675481448099,-20.0,90.0,upper,0.1200789682659234,87.99210317340767
3.0,465.0,107.45064798118428,-15.0,90.0,upper,0.11811558271754062,88.18844172824593
