A_scale,ReA_nm,ReC_nm,best_CR,best_A_base_deg,best_A_kind
0.0,0.0,-280.0,7.352601764449459,90.0,upper
0.0,0.0,-275.0,7.57670675386368,90.0,upper
0.0,0.0,-270.0,7.812355724186703,90.0,upper
0.0,0.0,-265.0,8.060323524153107,90.0,upper
0.0,0.0,-260.0,8.32144936330807,90.0,upper
0.0,0.0,-255.0,8.596643093847826,90.0,upper
0.0,0.0,-250.0,8.886892186017459,90.0,upper
0.0,0.0,-245.0,9.193269480310716,90.0,upper
0.0,0.0,-240.0,9.516941810003079,90.0,upper
0.0,0.0,-235.0,9.859179599000893,90.0,upper
0.0,0.0,-230.0,10.221367552676922,90.0,upper
0.0,0.0,-225.0,10.605016573328808,90.0,upper
0.0,0.0,-220.0,11.011777047143248,90.0,upper
0.0,0.0,-215.0,11.443453666008446,90.0,upper
0.0,0.0,-210.0,11.902021965020982,90.0,upper
0.0,0.0,-205.0,12.389646774761085,90.0,upper
0.0,0.0,-200.0,12.908702805821045,90.0,upper
0.0,0.0,-195.0,13.461797600807303,90.0,upper
0.0,0.0,-190.0,14.051797104791657,90.0,upper
0.0,0.0,-185.0,14.68185411701602,90.0,upper
0.0,0.0,-180.0,15.355439891728142,90.0,upper
0.0,0.0,-175.0,16.07637915026858,90.0,upper
0.0,0.0,-170.0,16.84888874415193,90.0,upper
0.0,0.0,-165.0,17.677620161728235,90.0,upper
0.0,0.0,-160.0,18.56770598766335,90.0,upper
0.0,0.0,-155.0,19.524810289099463,90.0,upper
0.0,0.0,-150.0,20.555182693104097,90.0,upper
0.0,0.0,-145.0,21.66571560697431,90.0,upper
0.0,0.0,-140.0,22.86400357548281,90.0,upper
0.0,0.0,-135.0,24.158403112476975,90.0,upper
0.0,0.0,-130.0,25.558090415397537,90.0,upper
0.0,0.0,-125.0,27.073113074316417,90.0,upper
0.0,0.0,-120.0,28.714430098037216,90.0,upper
0.0,0.0,-115.0,30.49393214228894,90.0,upper
0.0,0.0,-110.0,32.42443054845879,90.0,upper
0.0,0.0,-105.0,34.519599465067,90.0,upper
0.0,0.0,-100.0,36.79384969440908,90.0,upper
0.0,0.0,-95.0,39.262105775980096,90.0,upper
0.0,0.0,-90.0,41.9394490846707,90.0,upper
0.0,0.0,-85.0,44.84057953297882,90.0,upper
0.0,0.0,-80.0,47.97903746140834,90.0,upper
0.0,0.0,-75.0,51.36611698764433,90.0,upper
0.0,0.0,-70.0,55.00939538383764,90.0,upper
0.0,0.0,-65.0,58.910804992950446,90.0,upper
0.0,0.0,-60.0,63.0641926437988,90.0,upper
0.0,0.0,-55.0,67.45235757452768,90.0,upper
0.0,0.0,-50.0,72.04364618060788,90.0,upper
0.0,0.0,-45.0,76.78832370491705,90.0,upper
0.0,0.0,-40.0,81.61514521873924,90.0,upper
0.0,0.0,-35.0,86.4287975675302,90.0,upper
0.0,0.0,-30.0,91.1091319467691,90.0,upper
0.0,0.0,-25.0,95.51325691374485,90.0,upper
0.0,0.0,-20.0,99.48147361607529,90.0,upper
0.0,0.0,-15.0,102.84756544204859,90.0,upper
0.0,0.0,-10.0,105.45304320437035,90.0,upper
0.0,0.0,-5.0,107.16372496631443,90.0,upper
0.0,0.0,0.0,107.88587165473055,90.0,upper
0.0,0.0,5.0,107.70042992344067,90.0,upper
0.0,0.0,10.0,106.80429681921464,90.0,upper
0.0,0.0,15.0,105.23269759573948,90.0,upper
0.0,0.0,20.0,103.04530524656337,90.0,upper
0.0,0.0,25.0,100.3207836677912,90.0,upper
0.0,0.0,30.0,97.15015260670052,90.0,upper
0.0,0.0,35.0,93.62994390572732,90.0,upper
0.0,0.0,40.0,89.85598818123437,90.0,upper
0.0,0.0,45.0,85.91840582515837,90.0,upper
0.0,0.0,50.0,81.89806962703184,90.0,upper
0.0,0.0,55.0,77.86453673872595,90.0,upper
0.0,0.0,60.0,73.87525937727673,90.0,upper
0.0,0.0,65.0,69.97578602912476,90.0,upper
0.0,0.0,70.0,66.20064339215817,90.0,upper
0.0,0.0,75.0,62.57461879328304,90.0,upper
0.0,0.0,80.0,59.11421835541887,90.0,upper
0.0,0.0,85.0,55.82913851954186,90.0,upper
0.0,0.0,90.0,52.72364566499143,90.0,upper
0.0,0.0,95.0,49.79780479327225,90.0,upper
0.0,0.0,100.0,47.04853218212981,90.0,upper
