A_step_idx,A_scale,ReA_nm,best_CR,best_ReC_nm,best_A_base_deg,best_A_kind,png
0,0.0,0.0,107.88587165473056,0.0,90.0,upper,iso_LC_AC_abs_A000.png
1,0.05,7.75,109.19320923097288,10.0,90.0,upper,iso_LC_AC_abs_A001.png
2,0.1,15.5,112.50292374495572,20.0,90.0,upper,iso_LC_AC_abs_A002.png
3,0.15,23.25,118.24922506415948,25.0,90.0,upper,iso_LC_AC_abs_A003.png
4,0.2,31.0,126.67929597705054,35.0,90.0,upper,iso_LC_AC_abs_A004.png
5,0.25,38.75,138.49850160231867,40.0,90.0,upper,iso_LC_AC_abs_A005.png
6,0.3,46.5,154.70133230243124,50.0,90.0,upper,iso_LC_AC_abs_A006.png
7,0.35,54.25,176.92626620514577,55.0,90.0,upper,iso_LC_AC_abs_A007.png
8,0.4,62.0,207.2014070993509,60.0,90.0,upper,iso_LC_AC_abs_A008.png
9,0.45,69.75,249.00480826459247,65.0,90.0,upper,iso_LC_AC_abs_A009.png
10,0.5,77.5,307.47503986977483,70.0,90.0,upper,iso_LC_AC_abs_A010.png
11,0.55,85.25,389.5625460724133,75.0,90.0,upper,iso_LC_AC_abs_A011.png
12,0.6,93.0,501.959664413768,80.0,90.0,upper,iso_LC_AC_abs_A012.png
13,0.65,100.75,648.1915206345432,80.0,90.0,upper,iso_LC_AC_abs_A013.png
14,0.7,108.5,803.1764904116341,85.0,90.0,upper,iso_LC_AC_abs_A014.png
15,0.75,116.25,909.7076398305524,85.0,90.0,upper,iso_LC_AC_abs_A015.png
16,0.8,124.0,891.2537716158824,85.0,90.0,upper,iso_LC_AC_abs_A016.png
17,0.85,131.75,762.7431286637994,85.0,90.0,upper,iso_LC_AC_abs_A017.png
18,0.9,139.5,601.5950302013881,85.0,90.0,upper,iso_LC_AC_abs_A018.png
19,0.95,147.25,465.43890336981934,80.0,90.0,upper,iso_LC_AC_abs_A019.png
20,1.0,155.0,360.7975230085028,80.0,90.0,upper,iso_LC_AC_abs_A020.png
21,1.05,162.75,286.5100995380232,75.0,90.0,upper,iso_LC_AC_abs_A021.png
22,1.1,170.5,233.0695424767677,70.0,90.0,upper,iso_LC_AC_abs_A022.png
23,1.15,178.25,194.60057949805255,65.0,90.0,upper,iso_LC_AC_abs_A023.png
24,1.2,186.0,166.58749802387655,60.0,90.0,upper,iso_LC_AC_abs_A024.png
25,1.25,193.75,145.9134190168308,55.0,90.0,upper,iso_LC_AC_abs_A025.png
26,1.3,201.5,130.48661155383977,50.0,90.0,upper,iso_LC_AC_abs_A026.png
27,1.35,209.25,119.20318028071418,40.0,90.0,upper,iso_LC_AC_abs_A027.png
28,1.4,217.0,110.77664652165062,35.0,90.0,upper,iso_LC_AC_abs_A028.png
