update_idx,best_CR,A_scale,ReC_nm,A_base_deg,A_kind,S0_POL_in,s1_POL_in,s2_POL_in,s3_POL_in,S0_el#0_LC,s1_el#0_LC,s2_el#0_LC,s3_el#0_LC,S0_el#1_A,s1_el#1_A,s2_el#1_A,s3_el#1_A,S0_el#2_C,s1_el#2_C,s2_el#2_C,s3_el#2_C
0,7.352601764449459,0.0,-280.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000036,0.49293082449494935,-0.059254847372556325,-0.8570212089319588
1,7.57670675386368,0.0,-275.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.5090220823428986,-0.056932274360028,-0.8481035807764906
2,7.812355724186703,0.0,-270.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.5249464812787845,-0.05463378535694893,-0.8388724432309507
3,8.060323524153107,0.0,-265.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.5406979406148273,-0.052360258035000454,-0.8293310385143482
4,8.32144936330807,0.0,-260.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.5562704424724854,-0.05011256100013176,-0.8194827311135272
5,8.596643093847826,0.0,-255.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000003,0.571658034225723,-0.047891553439903686,-0.8093310065190682
6,8.886892186017459,0.0,-250.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.5868548309189345,-0.045698084774492366,-0.7988794699106931
7,9.193269480310716,0.0,-245.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.6018550176584794,-0.04353299431149971,-0.7881318447926939
8,9.516941810003079,0.0,-240.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.6166528519768182,-0.041397110904720584,-0.7770919715799418
9,9.859179599000893,0.0,-235.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.6312426661682224,-0.039291252617012086,-0.7657638061350468
10,10.221367552676922,0.0,-230.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.6456188695950698,-0.037216226387408374,-0.7541514182572515
11,10.605016573328808,0.0,-225.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.6597759509637305,-0.03517282770262436,-0.7422589901236847
12,11.011777047143248,0.0,-220.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.6737084805690717,-0.03316184027309035,-0.7300908146835995
13,11.443453666008446,0.0,-215.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000036,0.6874111125066148,-0.031184035713653784,-0.7176512940062538
14,11.902021965020982,0.0,-210.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.7008785868514007,-0.029240173229087046,-0.7049449375831094
15,12.389646774761085,0.0,-205.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.7141057318026283,-0.027330999304536727,-0.6919763605850422
